Top-level zone: System: NonStridingTopLevelMemoryZoneContainer:System[00]
Top-level zone: Setup: NonStridingTopLevelMemoryZoneContainer:Setup[10 00 00]
Top-level zone: Temporary Tone ZCore: StridingTopLevelMemoryZoneContainer:Temporary Tone ZCore [02 00 00 00..02 03 00 00/0x10000] (4 items)
Top-level zone: Temporary Tone Analog Synth Model: StridingTopLevelMemoryZoneContainer:Temporary Tone Analog Synth Model [02 10 00 00..02 13 00 00/0x10000] (4 items)
Top-level zone: Temporary Tone RD Piano: NonStridingTopLevelMemoryZoneContainer:Temporary Tone RD Piano[02 20 00 00]
Top-level zone: Temporary Tone JUPITER-X: StridingTopLevelMemoryZoneContainer:Temporary Tone JUPITER-X [02 50 00 00..02 53 00 00/0x10000] (4 items)
Struct: Setup
Struct: System Common
Struct: System Control
Struct: Button Color Set
Struct: Drive
Struct: Arpeggio Common
Struct: Arpeggio Part
Struct: Master Comp
Struct: Master EQ
Struct: Sympathetic Resonance
Struct: ToneName
Struct: ToneCom
Struct: Model Bank Assign
Struct: USRDATABLK
Struct: Partial EQ
Struct: Partial LFO
Struct: Partial Pitch Env
Struct: Partial Filter Env
Struct: Partial Amp Env
Struct: Tone Common
Struct: Tone PMT
Struct: Tone Partial
Struct: Tone Synth Common
Struct: Tone Synth PMT
Struct: Tone Synth Partial
Struct: MDLSYN0
Struct: MDLJPX
Struct: MFX
Struct: Reverb
Struct: Chorus
Top-level struct: Setup
Top-level struct: System
Top-level struct: SynMdl
Top-level struct: RDTONE
Top-level struct: MdlJPX
Top-level struct: ZCore
offset,summary
04 a0 01 40,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].FILTER ENV2 KEY FOLLOW
04 a0 01 42,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].FILTER CUTOFF FREQ
04 a0 01 46,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].FILTER RESONANCE
04 a0 01 4a,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].FILTER HPF
04 a0 01 4e,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].FILTER SLOPE
04 a0 01 4f,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].FILTER TYPE
04 a0 01 50,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].FILTER KEY FOLLOW
04 a0 01 52,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].FILTER VELOCITY SENS
04 a0 01 54,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].AMP ENV ATTACK
04 a0 01 58,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].AMP ENV DECAY
04 a0 01 5c,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].AMP ENV SUSTAIN
04 a0 01 60,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].AMP ENV RELEASE
04 a0 01 64,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].AMP ENV VELOCITY SENS
04 a0 01 66,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].AMP ENV KEY FOLLOW
04 a0 01 68,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].OSC12 XMOD DEPTH
04 a0 01 6c,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].OSC34 XMOD DEPTH
04 a0 01 70,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].OSC12 MOD MODE
04 a0 01 71,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].OSC34 MOD MODE
04 a0 01 72,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].PITCH ENV1/2 LINK SWITCH
04 a0 01 73,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].FILTER ENV1/2 LINK SWITCH
04 a0 01 74,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].AMP LEVEL
04 a0 01 75,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].OSC1/2 VELOCITY SENS
04 a0 01 77,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].OSC3/4 VELOCITY SENS
04 a0 01 79,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].PORTAMENT MODE
04 a0 01 7a,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].PORTAMENT TIME
04 a0 01 7e,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].PORTAMENT CURVE TYPE
04 a0 01 7f,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].AFTER TOUCH SENS LFO
04 a0 02 00,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].AFTER TOUCH SENS FREQ
04 a0 02 01,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].AFTER TOUCH SENS LEVEL
04 a0 02 02,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].AFTER TOUCH SENS PITCH
04 a0 02 03,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].BENDER PITCH DEPTH UP
04 a0 02 04,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].BENDER PITCH DEPTH DOWN
04 a0 02 05,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].BENDER FILTER DEPTH
04 a0 02 06,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].MODULATION LFO DEPTH
04 a0 02 07,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].MODULATION LFO RATE SENS
04 a0 02 08,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].KEY MODE
04 a0 02 09,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].PITCH DRIFT
04 a0 02 0b,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].UNISON DETUNE
04 a0 02 0c,MdlJPX[0].Model JUPITER-X Parameter[1(unique)].CONDITION
04 a0 03 00,MdlJPX[0].Model JUPITER-X MFX[1(unique)].Type (* appendix 1)
04 a0 03 01,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Switch
04 a0 03 02,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Chorus Send Level
04 a0 03 03,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Reverb Send Level
04 a0 03 04,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX CtrlSrc 1
04 a0 03 05,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX CtrlSens 1
04 a0 03 06,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX CtrlSrc 2
04 a0 03 07,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX CtrlSens 2
04 a0 03 08,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX CtrlSrc 3
04 a0 03 09,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX CtrlSens 3
04 a0 03 0a,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX CtrlSrc 4
04 a0 03 0b,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX CtrlSens 4
04 a0 03 0c,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX CtrlAsgn
04 a0 03 0d,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX CtrlAsgn
04 a0 03 0e,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX CtrlAsgn
04 a0 03 0f,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX CtrlAsgn
04 a0 03 10,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 1
04 a0 03 14,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 2
04 a0 03 18,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 3
04 a0 03 1c,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 4
04 a0 03 20,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 5
04 a0 03 24,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 6
04 a0 03 28,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 7
04 a0 03 2c,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 8
04 a0 03 30,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 9
04 a0 03 34,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 10
04 a0 03 38,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 11
04 a0 03 3c,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 12
04 a0 03 40,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 13
04 a0 03 44,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 14
04 a0 03 48,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 15
04 a0 03 4c,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 16
04 a0 03 50,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 17
04 a0 03 54,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 18
04 a0 03 58,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 19
04 a0 03 5c,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 20
04 a0 03 60,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 21
04 a0 03 64,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 22
04 a0 03 68,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 23
04 a0 03 6c,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 24
04 a0 03 70,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 25
04 a0 03 74,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 26
04 a0 03 78,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 27
04 a0 03 7c,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 28
04 a0 04 00,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 29
04 a0 04 04,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 30
04 a0 04 08,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 31
04 a0 04 0c,MdlJPX[0].Model JUPITER-X MFX[1(unique)].MFX Parameter 32
04 a0 05 00,MdlJPX[0].Model JUPITER-X Tone Com[1(unique)].Name
04 a0 05 01,MdlJPX[0].Model JUPITER-X Tone Com[1(unique)].Name
04 a0 05 02,MdlJPX[0].Model JUPITER-X Tone Com[1(unique)].Name
04 a0 05 03,MdlJPX[0].Model JUPITER-X Tone Com[1(unique)].Name
04 a0 05 04,MdlJPX[0].Model JUPITER-X Tone Com[1(unique)].Name
04 a0 05 05,MdlJPX[0].Model JUPITER-X Tone Com[1(unique)].Name
04 a0 05 06,MdlJPX[0].Model JUPITER-X Tone Com[1(unique)].Name
04 a0 05 07,MdlJPX[0].Model JUPITER-X Tone Com[1(unique)].Name
04 a0 05 08,MdlJPX[0].Model JUPITER-X Tone Com[1(unique)].Name
04 a0 05 09,MdlJPX[0].Model JUPITER-X Tone Com[1(unique)].Name
04 a0 05 0a,MdlJPX[0].Model JUPITER-X Tone Com[1(unique)].Name
04 a0 05 0b,MdlJPX[0].Model JUPITER-X Tone Com[1(unique)].Name
04 a0 05 0c,MdlJPX[0].Model JUPITER-X Tone Com[1(unique)].Name
04 a0 05 0d,MdlJPX[0].Model JUPITER-X Tone Com[1(unique)].Name
04 a0 05 0e,MdlJPX[0].Model JUPITER-X Tone Com[1(unique)].Name
04 a0 05 0f,MdlJPX[0].Model JUPITER-X Tone Com[1(unique)].Name
04 a0 05 10,MdlJPX[0].Model JUPITER-X Tone Com[1(unique)].Category
04 a0 05 11,MdlJPX[0].Model JUPITER-X Tone Com[1(unique)].Reserved
04 a0 05 13,MdlJPX[0].Model JUPITER-X Tone Com[1(unique)].Reserved
04 a2 00 00,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC1 WAVEFORM
04 a2 00 01,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC1 COARSE TUNE
04 a2 00 02,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC1 FINE TUNE
04 a2 00 03,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC1 LEVEL
04 a2 00 05,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC1 PW PWM
04 a2 00 06,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC1 PW MODE
04 a2 00 07,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC1 DELAY TIME
04 a2 00 0b,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC1 DELAY TIME SYNC
04 a2 00 0c,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC1 DELAY TIME (Note)
04 a2 00 0d,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC1 PAN
04 a2 00 0e,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC1 ALTERNATE PAN DEPTH
04 a2 00 0f,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC2 WAVEFORM
04 a2 00 10,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC2 COARSE TUNE
04 a2 00 11,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC2 FINE TUNE
04 a2 00 12,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC2 LEVEL
04 a2 00 14,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC2 PW PWM
04 a2 00 15,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC2 PW MODE
04 a2 00 16,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC2 DELAY TIME
04 a2 00 1a,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC2 DELAY TIME SYNC
04 a2 00 1b,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC2 DELAY TIME (Note)
04 a2 00 1c,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC2 PAN
04 a2 00 1d,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC2 ALTERNATE PAN DEPTH
04 a2 00 1e,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC3 WAVEFORM
04 a2 00 1f,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC3 COARSE TUNE
04 a2 00 20,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC3 FINE TUNE
04 a2 00 21,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC3 LEVEL
04 a2 00 23,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC3 PW PWM
04 a2 00 24,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC3 PW MODE
04 a2 00 25,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC3 DELAY TIME
04 a2 00 29,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC3 DELAY TIME SYNC
04 a2 00 2a,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC3 DELAY TIME (Note)
04 a2 00 2b,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC3 PAN
04 a2 00 2c,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC3 ALTERNATE PAN DEPTH
04 a2 00 2d,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC4 WAVEFORM
04 a2 00 2e,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC4 COARSE TUNE
04 a2 00 2f,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC4 FINE TUNE
04 a2 00 30,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC4 LEVEL
04 a2 00 32,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC4 PW PWM
04 a2 00 33,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC4 PW MODE
04 a2 00 34,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC4 DELAY TIME
04 a2 00 38,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC4 DELAY TIME SYNC
04 a2 00 39,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC4 DELAY TIME (Note)
04 a2 00 3a,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC4 PAN
04 a2 00 3b,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC4 ALTERNATE PAN DEPTH
04 a2 00 3c,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].LFO1 WAVE FORM
04 a2 00 3d,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].LFO1 RATE (Note)
04 a2 00 3e,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].LFO1 RATE
04 a2 00 42,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].LFO1 DELAY TIME
04 a2 00 46,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].LFO1 PITCH DEPTH
04 a2 00 48,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].LFO1 FILTER DEPTH
04 a2 00 4a,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].LFO1 AMP DEPTH
04 a2 00 4c,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].LFO1 PITCH DESTINATION SELECT
04 a2 00 4d,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].LFO1 SYNC SWITCH
04 a2 00 4e,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].LFO1 KEY TRIGGER
04 a2 00 4f,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].LFO1 PAN DEPTH
04 a2 00 50,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].LFO2 WAVE FORM
04 a2 00 51,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].LFO2 RATE (Note)
04 a2 00 52,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].LFO2 RATE
04 a2 00 56,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].LFO2 DELAY TIME
04 a2 00 5a,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].LFO2 PITCH DEPTH
04 a2 00 5c,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].LFO2 FILTER DEPTH
04 a2 00 5e,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].LFO2 AMP DEPTH
04 a2 00 60,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].LFO2 PITCH DESTINATION SELECT
04 a2 00 61,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].LFO2 SYNC SWITCH
04 a2 00 62,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].LFO2 KEY TRIGGER
04 a2 00 63,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].LFO2 PAN DEPTH
04 a2 00 64,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].PITCH ENV1 ATTACK
04 a2 00 68,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].PITCH ENV1 DECAY
04 a2 00 6c,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].PITCH ENV1 SUSTAIN
04 a2 00 70,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].PITCH ENV1 RELEASE
04 a2 00 74,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].PITCH ENV1 DEPTH
04 a2 00 76,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].PITCH ENV1 VELOCITY SENS
04 a2 00 78,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].PITCH ENV1 DESTINATION SELECT
04 a2 00 79,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].PITCH ENV1 KEY FOLLOW
04 a2 00 7b,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].PITCH ENV2 ATTACK
04 a2 00 7f,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].PITCH ENV2 DECAY
04 a2 01 03,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].PITCH ENV2 SUSTAIN
04 a2 01 07,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].PITCH ENV2 RELEASE
04 a2 01 0b,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].PITCH ENV2 DEPTH
04 a2 01 0d,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].PITCH ENV2 VELOCITY SENS
04 a2 01 0f,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].PITCH ENV2 DESTINATION SELECT
04 a2 01 10,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].PITCH ENV2 KEY FOLLOW
04 a2 01 12,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].FILTER ENV1 ATTACK
04 a2 01 16,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].FILTER ENV1 DECAY
04 a2 01 1a,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].FILTER ENV1 SUSTAIN
04 a2 01 1e,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].FILTER ENV1 RELEASE
04 a2 01 22,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].FILTER ENV1 DEPTH
04 a2 01 26,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].FILTER ENV1 VELOCITY SENS
04 a2 01 28,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].FILTER ENV1 KEY FOLLOW
04 a2 01 2a,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].FILTER ENV2 ATTACK
04 a2 01 2e,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].FILTER ENV2 DECAY
04 a2 01 32,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].FILTER ENV2 SUSTAIN
04 a2 01 36,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].FILTER ENV2 RELEASE
04 a2 01 3a,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].FILTER ENV2 DEPTH
04 a2 01 3e,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].FILTER ENV2 VELOCITY SENS
04 a2 01 40,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].FILTER ENV2 KEY FOLLOW
04 a2 01 42,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].FILTER CUTOFF FREQ
04 a2 01 46,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].FILTER RESONANCE
04 a2 01 4a,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].FILTER HPF
04 a2 01 4e,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].FILTER SLOPE
04 a2 01 4f,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].FILTER TYPE
04 a2 01 50,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].FILTER KEY FOLLOW
04 a2 01 52,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].FILTER VELOCITY SENS
04 a2 01 54,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].AMP ENV ATTACK
04 a2 01 58,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].AMP ENV DECAY
04 a2 01 5c,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].AMP ENV SUSTAIN
04 a2 01 60,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].AMP ENV RELEASE
04 a2 01 64,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].AMP ENV VELOCITY SENS
04 a2 01 66,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].AMP ENV KEY FOLLOW
04 a2 01 68,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC12 XMOD DEPTH
04 a2 01 6c,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC34 XMOD DEPTH
04 a2 01 70,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC12 MOD MODE
04 a2 01 71,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC34 MOD MODE
04 a2 01 72,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].PITCH ENV1/2 LINK SWITCH
04 a2 01 73,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].FILTER ENV1/2 LINK SWITCH
04 a2 01 74,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].AMP LEVEL
04 a2 01 75,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC1/2 VELOCITY SENS
04 a2 01 77,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].OSC3/4 VELOCITY SENS
04 a2 01 79,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].PORTAMENT MODE
04 a2 01 7a,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].PORTAMENT TIME
04 a2 01 7e,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].PORTAMENT CURVE TYPE
04 a2 01 7f,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].AFTER TOUCH SENS LFO
04 a2 02 00,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].AFTER TOUCH SENS FREQ
04 a2 02 01,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].AFTER TOUCH SENS LEVEL
04 a2 02 02,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].AFTER TOUCH SENS PITCH
04 a2 02 03,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].BENDER PITCH DEPTH UP
04 a2 02 04,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].BENDER PITCH DEPTH DOWN
04 a2 02 05,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].BENDER FILTER DEPTH
04 a2 02 06,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].MODULATION LFO DEPTH
04 a2 02 07,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].MODULATION LFO RATE SENS
04 a2 02 08,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].KEY MODE
04 a2 02 09,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].PITCH DRIFT
04 a2 02 0b,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].UNISON DETUNE
04 a2 02 0c,MdlJPX[1].Model JUPITER-X Parameter[1(unique)].CONDITION
04 a2 03 00,MdlJPX[1].Model JUPITER-X MFX[1(unique)].Type (* appendix 1)
04 a2 03 01,MdlJPX[1].Model JUPITER-X MFX[1(unique)].MFX Switch
04 a2 03 02,MdlJPX[1].Model JUPITER-X MFX[1(unique)].MFX Chorus Send Level
04 a2 03 03,MdlJPX[1].Model JUPITER-X MFX[1(unique)].MFX Reverb Send Level
04 a2 03 04,MdlJPX[1].Model JUPITER-X MFX[1(unique)].MFX CtrlSrc 1
04 a2 03 05,MdlJPX[1].Model JUPITER-X MFX[1(unique)].MFX CtrlSens 1
04 a2 03 06,MdlJPX[1].Model JUPITER-X MFX[1(unique)].MFX CtrlSrc 2
04 a2 03 07,MdlJPX[1].Model JUPITER-X MFX[1(unique)].MFX CtrlSens 2
04 a2 03 08,MdlJPX[1].Model JUPITER-X MFX[1(unique)].MFX CtrlSrc 3
04 a2 03 09,MdlJPX[1].Model JUPITER-X MFX[1(unique)].MFX CtrlSens 3
04 a2 03 0a,MdlJPX[1].Model JUPITER-X MFX[1(unique)].MFX CtrlSrc 4
04 a2 03 0b,MdlJPX[1].Model JUPITER-X MFX[1(unique)].MFX CtrlSens 4
04 a2 03 0c,MdlJPX[1].Model JUPITER-X MFX[1(unique)].MFX CtrlAsgn
04 a2 03 0d,MdlJPX[1].Model JUPITER-X MFX[1(unique)].MFX CtrlAsgn
04 a2 03 0e,MdlJPX[1].Model JUPITER-X MFX[1(unique)].MFX CtrlAsgn
04 a2 03 0f,MdlJPX[1].Model JUPITER-X MFX[1(unique)].MFX CtrlAsgn
04 a2 03 10,MdlJPX[1].Model JUPITER-X MFX[1(unique)].MFX Parameter 1
04 a2 03 14,MdlJPX[1].Model JUPITER-X MFX[1(unique)].MFX Parameter 2
04 a2 03 18,MdlJPX[1].Model JUPITER-X MFX[1(unique)].MFX Parameter 3
04 a2 03 1c,MdlJPX[1].Model JUPITER-X MFX[1(unique)].MFX Parameter 4
